,rank,title,artist,clean_title,clean_artist
85,86,If I Was A Cowboy,Miranda Lambert,ifiwasacowboy,mirandalambert
86,87,Otro Atardecer,Bad Bunny & The Marias,otroatardecer,badbunny&themarias
87,88,Un Coco,Bad Bunny,uncoco,badbunny
88,89,El Apagon,Bad Bunny,elapagon,badbunny
89,90,Pushin P,Gunna & Future Featuring Young Thug,pushinp,gunna&futurefeaturingyoungthug
90,91,Me Or Sum,"Nardo Wick, Lil Baby & Future",meorsum,"nardowick,lilbaby&future"
91,92,Fall In Love,Bailey Zimmerman,fallinlove,baileyzimmerman
92,93,712PM,Future,712pm,future
93,94,Don't Think Jesus,Morgan Wallen,don'tthinkjesus,morganwallen
94,95,No Love,Summer Walker & SZA,nolove,summerwalker&sza
95,96,The Motto,Tiesto & Ava Max,themotto,tiesto&avamax
96,97,Me Fui de Vacaciones,Bad Bunny,mefuidevacaciones,badbunny
97,98,Hold My Hand,Lady Gaga,holdmyhand,ladygaga
98,99,Ensename A Bailar,Bad Bunny,ensenameabailar,badbunny
99,100,Flowers,Lauren Spencer-Smith,flowers,laurenspencer-smith
