,id_list,songname,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clean_songname,clean_artist
1090,2K0197U1ISEfYciePNX8eU,Paid My Dues,Anastacia,0.699,0.735,1,-3.292,0,0.0345,0.111,1.22e-05,0.0782,0.758,96.981,paidmydues,anastacia
1091,2bz4DTZlejfsUt8bzFCvEp,Hey Mama,Black Eyed Peas,0.86,0.866,4,-6.345,0,0.232,0.104,1.42e-06,0.584,0.933,100.15,heymama,blackeyedpeas
1092,6Phug5Bw0QShaFvRMeBVzZ,Walk on Water - H2O Radio Mix,Milk Inc.,0.733,0.79,0,-8.482,1,0.0588,0.0938,4.86e-06,0.152,0.428,140.928,walkonwater-h2oradiomix,milkinc.
1093,2rTYgHxgcndkUrRoU7x0Sv,Mr. Vain,Culture Beat,0.676,0.996,9,-7.946,0,0.0397,0.0478,0.262,0.333,0.4,132.871,mr.vain,culturebeat
1094,5EYdTPdJD74r9EVZBztqGG,The Bad Touch,Bloodhound Gang,0.831,0.735,0,-6.254,0,0.0384,0.00397,0.0205,0.123,0.97,122.979,thebadtouch,bloodhoundgang
1095,2ewWHECQ6LRCqd659StkHM,Relax,Frankie Goes To Hollywood,0.691,0.653,9,-10.024,1,0.035,0.296,1.86e-06,0.0656,0.819,115.307,relax,frankiegoestohollywood
1096,5O4NFbDqJ8SOfbjnIhdPDt,The Safety Dance,Men Without Hats,0.525,0.882,5,-4.479,1,0.0467,0.0252,0.0,0.101,0.623,101.674,thesafetydance,menwithouthats
1097,0N5Du3CNQilIBTxkwDQadv,Funkytown - Single Version,Lipps Inc.,0.915,0.657,0,-6.846,1,0.0514,0.00112,0.286,0.117,0.36,122.435,funkytown-singleversion,lippsinc.
1098,0RmXtDH1cBMGImRrmn5xL6,Turn Me On,Kevin Lyttle,0.677,0.682,9,-6.879,1,0.0361,0.0405,0.0,0.0351,0.875,106.279,turnmeon,kevinlyttle
1099,0g6ISmY4VvTNjMRl2VultZ,Cha Cha Slide - Hardino Mix,DJ Casper,0.855,0.926,11,-5.58,0,0.136,0.0416,0.00716,0.292,0.832,130.995,chachaslide-hardinomix,djcasper
1100,7kTvXtMERxvwCGcWv68ssH,Sweat (A La La La La Long),Inner Circle,0.787,0.79,0,-6.649,1,0.21,0.0166,0.0,0.18,0.948,173.032,sweat(alalalalalong),innercircle
1101,1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,sweetdreams(aremadeofthis)-remastered,eurythmics
1102,4YOJFyjqh8eAcbKFfv88mV,Y.M.C.A.,Village People,0.75,0.785,6,-10.926,1,0.0591,0.0278,0.0,0.0601,0.752,126.361,y.m.c.a.,villagepeople
1103,709JP07qJbz95uMOLHYlWu,99 Luftballons,Nena,0.636,0.467,4,-10.1,1,0.0421,0.0915,1.7e-06,0.117,0.58,96.639,99luftballons,nena
1104,3XVozq1aeqsJwpXrEZrDJ9,Ice Ice Baby,Vanilla Ice,0.979,0.792,2,-2.784,1,0.0388,0.0025,7.71e-06,0.102,0.583,116.012,iceicebaby,vanillaice
1105,40NRm1ZLvZpUSCUXAGGZ8J,Kung Fu Fighting,Carl Douglas,0.598,0.673,2,-10.431,1,0.0693,0.0422,6.9e-05,0.289,0.59,102.034,kungfufighting,carldouglas
1106,27QvYgBk0CHOVHthWnkuWt,Vogue,Madonna,0.737,0.88,6,-6.449,1,0.0433,0.00379,0.00351,0.417,0.329,115.998,vogue,madonna
1107,7o7E1nrHWncYY7PY94gCiX,Video Killed The Radio Star,The Buggles,0.68,0.678,1,-11.548,1,0.0754,0.103,0.00828,0.204,0.251,131.165,videokilledtheradiostar,thebuggles
1108,07zkNvtcmPOFlMOXbma13k,Sussudio,Phil Collins,0.736,0.838,0,-6.932,1,0.0725,0.0154,0.0608,0.0454,0.79,121.242,sussudio,philcollins
1109,50IT6uy1C9ar40a6XxwBgQ,Rock Me Amadeus - The Gold Mix,Falco,0.62,0.778,4,-11.061,0,0.121,0.409,0.00258,0.0903,0.912,176.667,rockmeamadeus-thegoldmix,falco
1110,2RSOzvKUnfDDrb2nQPfpQU,Barbie Girl,Aqua,0.81,0.957,1,-6.049,0,0.0364,0.0165,0.284,0.248,0.962,129.985,barbiegirl,aqua
1111,7dzUZec5MnWMyQnk5klnKR,Grace Kelly,MIKA,0.671,0.82,0,-5.796,1,0.048,0.0194,0.0133,0.361,0.685,122.361,gracekelly,mika
1112,6ES92LMMYg49sgXRvOPbbH,Dance Hall Days,Wang Chung,0.668,0.854,0,-5.848,1,0.0426,0.276,0.00958,0.195,0.528,102.668,dancehalldays,wangchung
1113,01iyCAUm8EvOFqVWYJ3dVX,Dancing Queen,ABBA,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,dancingqueen,abba
1114,5IMtdHjJ1OtkxbGe4zfUxQ,Escape (The Pina Colada Song),Rupert Holmes,0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,escape(thepinacoladasong),rupertholmes
1115,4O4Z8VFczL8MxIOmqVWc1b,Footloose,Kenny Loggins,0.546,0.895,9,-7.189,1,0.0579,0.0819,1.42e-05,0.0768,0.494,174.089,footloose,kennyloggins
1116,4aKIs5t9TqP59btlCGPrgw,Maneater,Daryl Hall & John Oates,0.727,0.685,11,-7.159,0,0.0398,0.0351,4.43e-05,0.0973,0.812,88.75,maneater,darylhall&johnoates
1117,40ogYHQCVmrUJ2jCiM2odT,I Follow Rivers - The Magician Remix,Lykke Li,0.786,0.709,9,-5.737,0,0.0395,0.0192,0.00118,0.0845,0.285,122.019,ifollowrivers-themagicianremix,lykkeli
1118,2KjipxTHIPtoHBNx7d81Ic,C’est la vie,Khaled,0.62,0.894,0,-5.546,0,0.0433,0.0182,0.0,0.35,0.772,129.939,c’estlavie,khaled
1119,5YPMEOJ58kfl56VHxTgwx3,Play Hard (feat. Ne-Yo & Akon),David Guetta,0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072,playhard(feat.ne-yo&akon),davidguetta
1120,7rmUSOrOLRBzI8Uq63qYcR,Baby's on Fire,Die Antwoord,0.829,0.844,4,-4.329,0,0.0966,0.0521,0.00148,0.171,0.762,130.04,baby'sonfire,dieantwoord
1121,6vGZQFUSzHTitoQfG7hlaB,Ai Se Eu Te Pego - Live,Michel Teló,0.676,0.935,11,-4.55,1,0.0692,0.357,0.0,0.853,0.85,96.055,aiseeutepego-live,michelteló
1122,5nJUnboMKBuJi2IOZgNKtU,Get Free,Major Lazer,0.52,0.554,11,-9.39,0,0.0821,0.119,0.174,0.125,0.766,176.042,getfree,majorlazer
1123,7adytMIH2NAeVq2TaDjiYZ,Only The Horses,Scissor Sisters,0.668,0.799,1,-3.905,1,0.0432,0.00348,1.92e-05,0.0855,0.818,126.059,onlythehorses,scissorsisters
1124,6QWpolEawxnSNfYOmYFG0M,I Fink U Freeky,Die Antwoord,0.844,0.751,6,-6.5,1,0.223,0.0292,1.71e-05,0.499,0.514,129.985,ifinkufreeky,dieantwoord
1125,7h94Gugaor1PCxYJ09kW5W,Balada - Ao Vivo,Gusttavo Lima,0.681,0.949,11,-4.302,0,0.0566,0.167,0.0,0.832,0.832,128.017,balada-aovivo,gusttavolima
